256
Caixa no tempo 10000
W 6.372009 6.468512 6.244923
W 0.389870 0.444416 0.380107
W 1.397710 0.501216 6.743356
W 2.317126 0.017053 6.305936
W 3.646743 6.439360 5.864621
W 4.337340 0.408533 5.843302
W 5.779323 0.500588 6.200725
W 0.204900 0.070407 6.316226
W 0.415615 1.851033 0.013171
W 1.508960 1.905806 6.792485
W 2.712903 1.423551 6.494649
W 4.009895 1.458498 5.612756
W 5.271806 1.261499 6.769834
W 5.596118 1.218703 0.787583
W 6.759477 1.421588 5.845424
W 0.924914 2.307984 6.061072
W 3.172866 2.159170 5.784935
W 4.005694 1.601818 6.589677
W 4.790195 2.150354 5.969270
W 5.786097 1.901839 5.818431
W 6.932087 2.672383 6.415289
W 0.706364 2.918582 0.120046
W 0.848084 3.949818 6.393381
W 1.680338 4.715984 5.752025
W 1.705573 3.488841 6.268167
W 4.647443 1.608004 0.520874
W 5.310334 2.382483 6.816413
W 6.078123 3.140022 0.250477
W 6.765334 3.883247 6.308549
W 0.543081 5.040590 6.136561
W 2.592423 5.045419 6.816125
W 2.728049 3.350847 6.778941
W 3.519486 3.132216 6.048057
W 4.977978 3.303629 6.415057
W 5.846820 2.956390 6.019873
W 6.518824 4.912203 6.330993
W 1.084867 5.246457 5.127886
W 1.740218 5.383915 0.504643
W 3.713518 4.535020 6.212572
W 4.974844 4.910103 6.244072
W 5.580040 5.902105 4.890223
W 6.475526 4.412561 5.380226
W 5.874740 5.590504 5.907425
W 0.213662 5.967408 6.296648
W 1.254093 6.732336 6.071631
W 1.485522 5.707414 6.440538
W 4.066084 5.578808 6.307083
W 5.347773 6.543916 6.564928
W 5.749651 5.668964 0.088150
W 6.729168 6.342302 0.302910
W 6.886039 5.980998 1.455274
W 1.321737 0.729507 0.776230
W 1.968950 0.116790 1.339600
W 3.035427 5.948202 6.506932
W 4.244634 6.526827 6.881583
W 5.329081 0.267928 0.383419
W 6.475549 0.907994 6.762965
W 0.511741 0.637648 1.537383
W 1.697642 1.269026 1.783333
W 2.015141 1.703813 0.742589
W 2.302170 0.710955 0.553830
W 4.304506 0.628667 0.171374
W 6.716865 1.398689 1.632339
W 0.931498 1.711356 0.939755
W 1.680252 2.819353 0.480934
W 2.201976 2.485956 6.214959
W 2.696219 2.441154 1.225512
W 3.218372 0.530160 6.470832
W 6.363064 1.915270 6.885042
W 6.751063 2.269630 0.750076
W 6.778303 3.383242 1.154286
W 1.152679 3.097869 1.423232
W 2.321840 3.599419 1.441647
W 3.181834 2.383996 6.850997
W 4.726466 2.297638 1.355241
W 5.699690 2.231874 0.804669
W 5.566294 3.428702 1.320478
W 0.605331 3.977385 0.430442
W 1.366995 4.212054 1.198065
W 1.799075 3.801046 0.239070
W 3.542300 3.711813 1.316226
W 4.110975 2.572639 0.512513
W 4.918759 3.994597 0.463302
W 5.684950 4.400155 6.705987
W 6.427360 4.130372 0.511915
W 1.349021 4.744186 6.813521
W 2.434094 4.594319 0.955188
W 3.448927 4.409080 0.402277
W 3.921834 3.521998 0.232019
W 4.730563 5.244750 0.270484
W 4.964233 5.453180 1.453983
W 0.189879 5.061302 0.354246
W 0.815585 6.442747 6.987640
W 1.841338 6.492545 0.236391
W 2.802328 5.453635 0.712793
W 3.738276 5.651661 0.265402
W 4.924544 6.173341 0.655155
W 6.021456 4.968510 0.971405
W 6.353211 0.286797 0.903358
W 1.009722 6.772405 1.017546
W 2.374584 6.568189 2.318791
W 3.093363 6.339093 1.357540
W 3.378910 0.606597 0.610533
W 4.794728 0.655430 1.300886
W 5.607829 6.564859 1.366602
W 6.893841 0.799769 2.500545
W 0.829258 0.407931 2.991868
W 2.188912 0.737499 2.410585
W 2.877936 1.146700 1.483399
W 3.557115 1.664874 0.619791
W 3.940469 1.605446 1.589143
W 5.651239 0.558807 2.046549
W 0.300952 2.446893 1.634531
W 0.762166 1.398626 2.178640
W 1.757886 2.385971 1.843641
W 2.920482 2.238947 2.813526
W 3.673664 2.734055 1.469857
W 5.426594 1.549461 1.702161
W 5.985415 1.573065 2.662667
W 6.802037 3.261984 2.272961
W 0.970931 2.801989 2.711425
W 2.086490 3.302734 2.552225
W 3.201115 3.423350 2.390408
W 4.199288 3.334846 2.082049
W 5.179952 2.957418 2.135378
W 6.040876 2.442882 1.981675
W 6.760587 4.399794 1.965590
W 0.798241 3.846252 2.252958
W 1.587678 4.448720 2.512966
W 2.565542 3.986830 3.086101
W 4.501126 3.331036 1.202275
W 4.810035 4.393605 2.864257
W 5.028960 4.029358 1.932145
W 0.924739 5.435947 2.208906
W 0.456804 4.706166 1.238057
W 2.686727 5.529674 2.029265
W 2.671999 4.358047 2.015360
W 3.544983 4.519730 2.421943
W 4.396130 4.529224 1.176034
W 5.401851 5.934970 2.267540
W 0.793142 5.748435 0.952961
W 1.768515 5.224821 1.603987
W 1.856190 6.147013 1.485224
W 3.364910 6.455757 2.677372
W 3.896505 5.577067 1.433302
W 4.193994 5.562932 2.609313
W 6.376801 5.836063 2.639011
W 6.499976 6.809137 2.075499
W 1.625236 6.633841 3.227886
W 2.638151 6.803952 3.397942
W 4.054048 0.262725 3.240382
W 4.079540 6.657433 1.027371
W 4.898086 0.909299 2.767826
W 5.731866 6.763711 2.795994
W 6.277951 0.872819 3.335290
W 0.207843 0.959531 3.757065
W 1.661971 1.817889 2.898900
W 3.729466 0.543190 1.673312
W 3.917060 1.565578 3.489003
W 4.981392 1.925733 3.490430
W 5.717310 1.025274 4.420845
W 0.001483 1.935924 3.180325
W 1.296622 1.664235 4.065768
W 2.043505 2.862575 3.471206
W 3.226521 3.074290 3.410190
W 3.152133 1.027275 2.506930
W 4.910801 1.999657 2.463447
W 5.935386 1.869948 3.924044
W 0.381616 3.724563 3.306578
W 0.710829 2.615709 3.703600
W 1.586907 3.867566 3.329582
W 4.030575 2.548852 2.949420
W 4.493262 3.139520 4.038414
W 4.987082 3.380858 3.105907
W 5.970127 2.623243 3.154773
W 6.212200 4.885490 3.239863
W 0.358859 4.767967 3.050266
W 2.275177 4.839869 3.882665
W 2.698968 3.842928 4.266886
W 3.684791 3.947227 3.521825
W 4.724171 4.292655 3.922768
W 5.857386 3.746337 2.642659
W 0.130375 5.739105 3.400461
W 1.927740 5.380563 2.776693
W 1.986221 5.571830 4.635304
W 2.954794 5.181070 3.079686
W 3.978065 5.012892 3.590077
W 5.233812 5.261935 3.532167
W 6.341326 3.548380 3.527584
W 0.586937 6.530182 2.447964
W 1.239534 5.549484 3.498208
W 2.344581 5.808399 3.661305
W 3.574361 6.164604 3.789253
W 4.613642 6.397976 3.214180
W 4.490971 6.985905 2.213286
W 6.318549 5.569006 4.029133
W 6.627914 6.767350 3.239269
W 0.802837 6.606857 3.788753
W 2.107659 6.264600 5.586642
W 3.467659 0.184629 4.093861
W 4.300121 6.717826 4.821984
W 4.843721 0.427115 4.058930
W 6.169727 0.179192 4.143171
W 0.204838 0.425015 4.597427
W 0.768022 1.406533 5.419064
W 1.485352 0.165861 5.150335
W 1.763876 0.739064 3.541579
W 3.201959 0.969553 4.961007
W 4.130225 0.903449 4.658817
W 5.231218 1.114419 5.570647
