g  r
0.000000 0.016177
0.000000 0.048532
0.000000 0.080887
0.000000 0.113242
0.000000 0.145597
0.000000 0.177952
0.000000 0.210306
0.000000 0.242661
0.000000 0.275016
0.000000 0.307371
0.000000 0.339726
0.000000 0.372081
0.000000 0.404435
0.000000 0.436790
0.000000 0.469145
0.000000 0.501500
0.000000 0.533855
0.000000 0.566210
0.000000 0.598564
0.000000 0.630919
0.000000 0.663274
0.000000 0.695629
0.000000 0.727984
0.000000 0.760339
0.000000 0.792693
0.000000 0.825048
0.000000 0.857403
0.002351 0.889758
0.051981 0.922113
0.397768 0.954468
1.309573 0.986822
2.384903 1.019177
3.104245 1.051532
3.327262 1.083887
3.224637 1.116242
2.970440 1.148597
2.619844 1.180951
2.208712 1.213306
1.870456 1.245661
1.635328 1.278016
1.492600 1.310371
1.317485 1.342726
1.209067 1.375080
1.104465 1.407435
1.051802 1.439790
1.003360 1.472145
0.965960 1.504500
0.929391 1.536855
0.914989 1.569209
0.926563 1.601564
0.948936 1.633919
0.967862 1.666274
1.005028 1.698629
1.044260 1.730983
1.074239 1.763338
1.137115 1.795693
1.204510 1.828048
1.248187 1.860403
1.327751 1.892758
1.388194 1.925112
1.481196 1.957467
1.510190 1.989822
1.540161 2.022177
1.567915 2.054532
1.591726 2.086887
1.586959 2.119241
1.601293 2.151596
1.569082 2.183951
1.559461 2.216306
1.492033 2.248661
1.440028 2.281016
1.376090 2.313370
1.310291 2.345725
1.270437 2.378080
1.256177 2.410435
1.234164 2.442790
1.215286 2.475145
1.211731 2.507499
1.199033 2.539854
1.192742 2.572209
1.215332 2.604564
1.212367 2.636919
1.224310 2.669274
1.243919 2.701628
1.272189 2.733983
1.289450 2.766338
1.308440 2.798693
1.309433 2.831048
1.349740 2.863403
1.356769 2.895757
1.358850 2.928112
1.393653 2.960467
1.410453 2.992822
1.413523 3.025177
1.400537 3.057532
1.405841 3.089886
1.408440 3.122241
1.395793 3.154596
1.392251 3.186951
1.371727 3.219306
1.376881 3.251661
1.368428 3.284015
1.341124 3.316370
1.328230 3.348725
1.309236 3.381080
1.305152 3.413435
1.302535 3.445790
1.288603 3.478144
