# vx vy vz
-0.388468 0.161596 1.297855
-0.765053 1.094223 0.285411
-2.179533 -0.443029 -0.274623
0.846089 -0.132769 -0.183578
-0.295077 1.757218 -0.311503
-0.972842 0.581169 -1.365779
0.723678 0.084071 0.143828
-1.027223 -2.424973 1.222800
0.253051 -0.498997 0.423319
0.281337 1.691001 1.200863
1.316055 -2.154481 -1.023303
0.391238 0.611779 -1.941784
-0.626544 -0.192880 0.751927
1.597227 0.923910 -0.468923
0.970306 1.220232 1.560317
-1.019989 1.222791 0.320830
-0.096078 -0.098494 -1.153073
-0.535774 0.211470 -0.734533
0.458775 -1.502232 -0.835641
-1.831054 0.275936 1.319386
-1.160528 1.271661 0.475064
2.230144 -1.639791 0.256052
1.119923 -0.000132 0.213206
1.005287 -0.940857 -2.051346
-1.104661 0.513915 0.125022
1.760301 -0.755658 0.393776
-0.546586 -0.221637 0.380369
0.673592 -0.756656 0.095904
1.009445 -0.246295 -1.256632
-0.974957 0.045273 -0.207037
-0.600457 -1.308627 -0.018039
-1.161908 -0.336443 -0.661463
-0.392851 1.969993 0.982089
-1.167881 0.351596 0.113141
-1.773739 1.293631 -0.461618
1.007978 -0.682599 1.702204
-1.748236 0.202576 0.021435
0.784427 0.644726 0.807304
0.473003 -2.071085 0.860623
0.136584 -0.755369 -0.963426
0.817870 0.984253 0.387804
1.034028 0.574044 -1.531264
0.500741 0.182453 -0.042651
0.443270 -1.560642 -0.228044
-0.422603 1.057832 -0.100346
1.453358 0.066846 -0.777365
0.276091 0.085779 0.314427
-1.151244 0.138543 -0.599136
-1.674698 -0.621401 0.747898
-0.593223 0.961329 -0.388977
-0.148853 0.446014 -2.409662
-0.862979 0.150186 -0.394064
-0.802572 -1.562112 -2.163819
-0.725581 1.338995 -0.280005
-1.347067 -0.749802 0.118689
0.125917 -1.375631 1.584634
-0.015065 -0.897669 -1.067568
-0.200871 0.042019 1.257159
1.503006 -0.225976 2.208922
0.178379 2.021859 0.073833
-0.138812 1.197694 1.205975
0.351939 -1.279661 0.354366
0.734243 -0.877658 0.444324
0.218934 0.656801 0.472600
-1.281577 1.372976 1.279615
1.027952 -1.844203 -0.254770
-1.346160 -0.920801 -0.449683
-0.002612 0.174434 0.041699
1.965155 0.036325 -0.430068
-1.109916 -0.478244 -1.164974
0.579495 -1.347975 0.587346
0.510569 -1.523559 -1.928135
-0.633489 -1.033968 -0.538619
-1.225956 1.242075 1.111667
-0.227676 -0.782989 -1.446541
-2.063750 0.061929 -0.053152
0.154326 0.362409 0.195884
-1.942092 -0.266273 -0.072042
1.176594 0.515652 -0.042984
-0.529194 -0.935986 1.534962
0.680278 0.290340 -1.478135
1.831203 -0.819055 -0.991314
-0.738234 -0.574172 0.164005
1.321954 0.491264 -0.796845
0.533256 -1.014654 1.411351
0.820743 1.042498 1.607418
0.832261 -0.796901 -0.786370
0.211629 0.657810 0.433928
0.966257 -0.196162 -2.444369
-1.163089 0.606362 -0.514877
-0.055419 -0.619228 1.600560
-0.781317 0.842170 0.129882
0.496627 1.833580 -0.328667
-0.280648 -1.015226 -0.110616
0.733926 1.181402 -0.145829
0.499819 -1.465753 0.161560
-0.789250 -0.354946 0.552878
-1.250340 1.366000 0.524534
-0.524174 -0.233199 0.119450
0.348735 0.045711 -1.008227
1.378652 -0.725257 1.211369
0.220811 0.774848 0.283420
-0.917364 0.282925 0.551377
2.327527 -0.416705 -0.184248
0.268384 0.659925 -0.469272
-0.850399 0.370769 -0.435788
0.272202 -0.734943 0.403844
1.719898 -0.713535 0.711590
-0.035859 -0.574007 -1.048635
1.872547 0.457445 0.163592
1.367398 -0.215905 -1.517527
-0.956843 0.843645 0.022669
1.465469 -0.615876 0.481912
2.001566 0.889888 0.291672
0.593294 0.590064 -0.068355
-0.167905 1.631139 1.083505
0.819641 1.342753 -2.277387
-1.146502 0.099338 0.166031
