# T U K E
1 -845.182510 383.201481 -461.981029
2 -844.575956 382.332968 -462.242988
3 -843.392130 380.889651 -462.502479
4 -841.636711 378.879079 -462.757632
5 -839.318016 376.311273 -463.006742
6 -836.447290 373.198934 -463.248356
7 -833.038656 369.558146 -463.480510
8 -829.109031 365.407797 -463.701233
9 -824.678273 360.769701 -463.908572
10 -819.768986 355.668107 -464.100879
11 -814.406468 350.131041 -464.275427
12 -808.619568 344.188510 -464.431059
13 -802.439465 337.874204 -464.565260
14 -795.900191 331.224252 -464.675939
15 -789.038627 324.276944 -464.761684
16 -781.894210 317.074346 -464.819864
17 -774.509255 309.659777 -464.849479
18 -766.928253 302.079537 -464.848716
19 -759.197732 294.381577 -464.816155
20 -751.366319 286.615613 -464.750706
21 -743.484064 278.833254 -464.650810
22 -735.603167 271.086690 -464.516477
23 -727.775747 263.428997 -464.346750
24 -720.055096 255.913836 -464.141260
25 -712.494506 248.594473 -463.900033
26 -705.147106 241.523464 -463.623642
27 -698.064569 234.752440 -463.312129
28 -691.297753 228.331131 -462.966622
29 -684.895503 222.307275 -462.588228
30 -678.903969 216.725888 -462.178081
31 -673.366475 211.628420 -461.738054
32 -668.322860 207.052822 -461.270038
33 -663.808326 203.033035 -460.775291
34 -659.853906 199.598002 -460.255905
35 -656.486595 196.772108 -459.714487
36 -653.726807 194.574143 -459.152664
37 -651.590984 193.017799 -458.573185
38 -650.088600 192.111170 -457.977430
39 -649.224644 191.856534 -457.368111
40 -648.997317 192.250810 -456.746506
41 -649.399894 193.285574 -456.114321
42 -650.420113 194.946989 -455.473124
43 -652.040671 197.216210 -454.824461
44 -654.239018 200.070017 -454.169001
45 -656.988607 203.480771 -453.507836
46 -660.258568 207.417253 -452.841315
47 -664.014448 211.844493 -452.169955
48 -668.218884 216.725392 -451.493492
49 -672.832313 222.020108 -450.812206
50 -677.812704 227.687262 -450.125441
51 -683.116910 233.684447 -449.432462
52 -688.700918 239.967872 -448.733046
53 -694.520514 246.494394 -448.026120
54 -700.531727 253.220777 -447.310951
55 -706.691018 260.104431 -446.586586
56 -712.955849 267.104020 -445.851829
57 -719.285053 274.179407 -445.105645
58 -725.639643 281.292548 -444.347096
59 -731.982341 288.407076 -443.575265
60 -738.278509 295.489314 -442.789195
61 -744.495572 302.507723 -441.987849
62 -750.604305 309.433332 -441.170973
63 -756.577276 316.240380 -440.336896
64 -762.391208 322.905339 -439.485869
65 -768.024770 329.407891 -438.616879
66 -773.460227 335.730442 -437.729785
67 -778.682609 341.858213 -436.824397
68 -783.679731 347.779725 -435.900006
