g  r
0.000000 0.016177
0.000000 0.048532
0.000000 0.080887
0.000000 0.113242
0.000000 0.145597
0.000000 0.177952
0.000000 0.210306
0.000000 0.242661
0.000000 0.275016
0.000000 0.307371
0.000000 0.339726
0.000000 0.372081
0.000000 0.404435
0.000000 0.436790
0.000000 0.469145
0.000000 0.501500
0.000000 0.533855
0.000000 0.566210
0.000000 0.598564
0.000000 0.630919
0.000000 0.663274
0.000000 0.695629
0.000000 0.727984
0.000000 0.760339
0.000000 0.792693
0.000000 0.825048
0.000000 0.857403
0.002237 0.889758
0.057642 0.922113
0.409557 0.954468
1.297031 0.986822
2.362580 1.019177
3.053502 1.051532
3.353892 1.083887
3.227374 1.116242
2.929934 1.148597
2.541405 1.180951
2.185478 1.213306
1.917020 1.245661
1.684639 1.278016
1.492816 1.310371
1.321326 1.342726
1.221164 1.375080
1.137188 1.407435
1.065385 1.439790
1.018268 1.472145
0.974276 1.504500
0.932309 1.536855
0.926259 1.569209
0.933579 1.601564
0.945507 1.633919
0.955857 1.666274
0.993112 1.698629
1.032770 1.730983
1.083067 1.763338
1.130699 1.795693
1.192634 1.828048
1.246458 1.860403
1.328821 1.892758
1.396373 1.925112
1.453690 1.957467
1.495112 1.989822
1.540420 2.022177
1.569676 2.054532
1.591269 2.086887
1.584349 2.119241
1.594258 2.151596
1.575351 2.183951
1.521473 2.216306
1.474429 2.248661
1.430382 2.281016
1.386716 2.313370
1.335109 2.345725
1.290328 2.378080
1.270210 2.410435
1.252030 2.442790
1.230083 2.475145
1.215140 2.507499
1.197059 2.539854
1.194565 2.572209
1.210888 2.604564
1.211088 2.636919
1.232882 2.669274
1.249592 2.701628
1.269706 2.733983
1.284891 2.766338
1.307371 2.798693
1.324500 2.831048
1.344985 2.863403
1.359069 2.895757
1.371327 2.928112
1.388428 2.960467
1.395123 2.992822
1.401337 3.025177
1.400868 3.057532
1.406439 3.089886
1.401059 3.122241
1.397426 3.154596
1.392345 3.186951
1.372670 3.219306
1.362684 3.251661
1.351378 3.284015
1.336968 3.316370
1.321289 3.348725
1.313398 3.381080
1.306883 3.413435
1.299593 3.445790
1.286430 3.478144
