# vx vy vz
-1.421487 0.362822 -0.058434
1.339442 0.964777 1.009172
-0.947554 -0.366551 0.363793
-0.499947 0.275892 1.028299
0.536198 0.058539 -0.049575
-1.245821 0.350980 -0.455468
-1.339078 0.636767 0.378835
0.043458 -1.508248 1.700184
-0.521342 -0.354852 0.843892
-0.181306 0.152427 -0.195310
2.769310 0.203302 0.582486
-1.702185 0.868773 -1.175037
1.393714 2.020192 -0.882110
-1.061767 -0.806715 -1.853186
-0.911517 1.116929 0.508944
0.113727 2.002916 -0.012575
0.865122 0.166288 -3.511367
0.873093 -1.070776 0.094179
-0.394706 -0.507340 -0.373660
-0.032478 -0.115399 -0.141752
-0.483321 0.696119 0.284600
2.162092 -1.304050 -2.025655
-1.996399 0.420596 -0.597578
0.672445 -0.865237 -0.646888
1.058142 -1.487527 0.611498
0.736817 -0.088368 -0.085303
0.430754 -0.950369 1.057914
1.094312 1.370428 -0.025686
-1.090913 1.011969 -0.599782
0.247519 0.029065 0.589444
0.850833 -0.629335 0.544717
-0.586118 -2.698213 -0.545201
-0.509794 -0.775814 0.232341
-1.083092 1.465758 -1.634094
1.277378 0.813698 0.018519
-0.386262 0.363214 -1.520238
-0.450371 1.041964 0.318930
-0.397999 0.077873 0.788690
1.460734 0.771642 -0.961860
0.152360 -0.374770 0.283435
0.514320 -1.004779 0.206308
-1.199879 0.440324 0.635484
0.562958 -0.431230 0.651967
-0.585752 0.509059 0.894678
0.406918 0.677433 0.305076
1.634889 -0.114129 -0.194808
0.892439 0.641863 -0.049995
-0.226294 -0.557610 -0.219890
-0.917705 3.403937 -1.793213
0.864203 -1.743782 0.662370
0.317958 -0.624808 -1.664238
0.719714 2.198472 -1.020661
-0.555326 -1.284316 -0.562837
0.072781 -2.719842 0.978286
-0.393700 -0.179277 -0.222357
0.041318 -1.348142 -0.491461
-0.539687 0.385562 -1.175165
-0.290307 1.401857 -0.392758
1.547871 0.786267 0.197954
0.012823 0.624310 -0.974598
-0.728731 -0.147697 0.021205
0.668006 -1.860517 -0.458697
-2.197163 0.347024 0.674987
1.074543 0.085876 0.257773
-0.177489 1.683801 0.445858
0.018186 -0.906027 -0.186881
0.610367 -0.476566 -0.301585
0.251617 -0.030149 1.295858
0.183637 0.681307 2.235108
0.080152 1.213948 -0.329501
-0.991055 2.018238 1.381164
1.449045 -0.375516 0.376662
0.257047 0.403439 0.117564
1.139974 0.365901 -0.728079
1.232062 -0.059657 -0.320408
-0.718976 1.324953 0.397461
-0.470519 -0.338374 0.204771
-0.712209 2.558353 -0.436798
-1.457861 -1.012884 0.530643
1.673310 -0.002051 -0.237391
0.800646 -2.209931 0.203718
-0.272658 -0.301991 0.013350
-1.573514 0.434136 -1.096551
0.865623 1.904177 -0.455284
1.510621 0.932278 0.046416
2.115903 -0.478952 -0.849354
0.647990 0.456820 1.124142
-0.097098 0.104361 1.239398
1.151110 -0.857374 1.755635
-1.318495 -0.292327 -1.495620
0.264842 0.835888 0.011705
0.723796 -0.732782 0.409294
0.644765 -0.655951 1.649616
0.097682 -0.754745 1.046522
-0.795870 -0.281467 -0.427179
0.806043 0.793254 -1.240975
0.766063 1.452286 -1.092081
-1.506819 -1.238538 -2.791847
2.042599 -0.043372 0.014985
-0.595763 1.882113 0.219936
-0.101689 -0.637128 1.158244
0.994743 -1.158333 -1.473248
-0.543415 0.438283 -0.657931
-0.851341 -1.355401 -0.447501
0.139979 1.751225 -1.281405
-1.158315 1.293101 1.528431
1.160775 -0.643535 1.156856
-0.397392 0.673091 -0.047929
0.953365 -0.899660 -1.781223
-1.690894 1.243362 -0.343382
-1.296825 0.573263 0.686664
-0.108610 1.184972 -0.735095
-1.290025 1.868140 -1.442063
1.282215 -0.541655 -0.005713
1.449926 -0.410554 -1.734036
2.087156 -0.340717 0.477798
0.674047 -0.189850 -0.661024
0.079925 0.969075 0.532400
-0.325658 0.096533 0.591625
0.942389 -0.985687 -1.710406
-2.363124 0.159453 0.343038
-0.635442 -0.705339 0.115445
-0.400527 -1.097207 0.610244
0.790083 0.294304 -0.083462
-1.926444 0.835037 -0.029715
-1.400026 1.687233 0.500367
2.927866 -1.008164 -1.358636
0.344614 0.114196 0.938542
-1.788639 -0.416745 -0.177727
0.198179 0.011194 0.715197
0.141222 0.516332 1.519238
-0.016245 -0.209643 0.512500
0.021162 -1.073778 1.089104
0.869954 -0.592988 1.227740
0.089837 0.723660 0.777368
0.200413 -1.562169 0.351823
-1.032425 -0.495921 0.449948
-0.595625 -0.973562 0.212451
-0.615481 0.627937 -1.075013
0.617427 0.066922 0.467110
1.371658 -0.854968 0.779329
-0.749745 1.304036 -1.513465
-2.138323 1.443107 -0.345170
-0.852210 -0.820696 -0.187188
-1.432307 1.872140 -0.988401
-0.857605 -1.392644 -0.047875
-2.360344 0.222985 -0.465244
0.454845 -0.974898 -0.529018
-1.582011 1.715665 1.567839
-0.622452 1.432821 -0.178736
0.955732 1.128935 1.695412
0.170464 1.497896 -0.298037
0.568203 -1.887019 1.194875
0.555130 0.575276 0.696596
0.198076 -1.002167 -1.477377
0.810018 0.142939 -0.470387
0.553470 -1.290564 -0.001334
0.436107 -1.074211 -0.012142
1.717420 -1.073594 1.821026
-0.019609 -0.122165 1.450708
0.516135 -1.144381 1.890996
-0.358666 0.188602 1.274075
0.833581 1.904192 0.486510
-1.070597 0.793198 1.915912
-1.287533 0.110984 0.572927
0.309623 -0.158274 1.144750
0.548739 0.343665 -0.461593
-0.335516 0.224239 1.145526
-0.498040 -1.655191 -1.067830
-0.114061 -1.529849 0.778495
-1.024424 -1.584936 -0.588638
1.826908 -0.563846 0.173969
-0.989220 0.328462 0.889433
-0.303524 -1.998238 0.004401
-0.019601 0.587785 0.542666
-0.627720 2.270936 0.857613
1.227465 0.662768 -0.181307
1.182060 -0.745136 -0.758640
0.051040 0.741803 -0.853139
0.726375 -0.125561 0.202804
-2.887888 0.181412 1.792571
0.527036 1.175720 0.170163
0.801581 0.686126 0.080243
-0.527470 0.512290 -0.371491
-0.306506 -0.013059 -0.732769
0.595060 0.480887 1.579453
-0.628462 0.516962 -0.054490
0.485713 0.206229 -1.400851
1.239737 1.464093 -0.992496
-1.390701 0.126326 1.165745
-0.961872 -1.739791 0.872921
-1.616343 0.274171 0.992886
1.091767 0.425371 1.428828
-1.944424 -1.675455 -1.060136
-0.886100 0.151336 -1.290183
-0.125721 -0.288062 1.998478
-0.138479 0.036790 -1.254566
-0.517449 -1.615101 0.945492
-1.277284 -0.682665 -0.851472
-0.258837 -1.585672 -0.861819
-0.188100 0.477780 0.579795
1.253752 -0.933313 -0.638341
0.775105 1.126245 -0.019139
-0.687277 0.288950 -0.507913
-0.410569 -0.356922 -0.556289
0.932299 1.747915 -0.417852
-0.024387 1.336721 -0.045590
-0.120055 0.543310 0.479244
1.001786 -1.378257 1.206484
0.605130 -0.574269 1.071585
0.405863 1.212100 -0.748483
0.065055 2.403962 0.958470
-1.619963 -0.266624 0.625275
-1.285684 -0.547951 -3.224362
0.105292 -0.991761 1.007989
1.050059 0.048256 -0.575968
-0.153107 -0.754814 -0.168935
0.093821 1.046893 -0.132421
-0.841596 0.963901 1.095557
0.761203 -0.503439 0.958067
2.186402 -0.752638 -0.578836
0.153281 0.295278 -0.645202
0.018921 1.122123 0.168426
-1.498883 -2.120597 -0.074227
0.679819 -0.665541 0.578353
1.340902 0.069845 -0.026638
-0.634546 -0.743206 -1.680445
-0.657170 -1.459204 1.522667
-1.617087 -1.050863 -0.780368
-1.616750 0.158454 0.627811
0.473877 1.111007 -1.583998
-1.721740 -0.509399 -0.007258
-0.747781 -0.189167 0.533567
0.156772 0.622181 -0.649512
2.089007 -1.415659 -0.352654
-0.724887 -0.029944 0.038840
-0.557086 -0.449823 -1.393956
0.155185 0.231724 0.543649
1.505598 -0.636178 -0.906688
-0.342509 0.315148 0.723405
-0.572348 0.461538 -0.592315
0.051945 -0.204518 -0.458651
1.803699 0.492655 0.026627
-0.064922 0.073280 -2.202968
0.087326 -0.788959 0.447030
-0.527757 -1.412674 -1.218862
-0.965939 -2.615930 0.095391
0.762444 -0.309119 0.432700
0.499872 1.286466 0.755085
0.330513 -0.074132 1.104856
0.335594 -2.348490 -0.944053
-0.000233 -0.147905 -0.290696
-0.192843 -0.344104 0.050863
1.123203 -0.290847 0.506104
0.360567 -0.494945 -0.930855
-1.035973 -0.857672 -0.402654
