vx vy vz
-0.147557 -1.546306 1.868510
0.182967 0.453728 -0.723452
-0.787147 -1.284344 -1.408774
-1.245918 -1.367204 -0.905163
-0.507081 -1.483135 -1.579811
-0.339105 0.766381 -0.161001
-0.293376 0.617740 -0.977438
-2.007246 0.707118 -1.365657
-1.013311 -1.039995 -0.285291
0.092911 -1.083568 -0.240477
1.429265 -0.269183 1.535443
-2.004942 -0.765362 1.847550
-0.807480 0.178008 1.846061
-0.327456 0.895175 0.790596
-0.294125 1.984381 -0.582227
1.230283 -0.430282 -0.919983
0.160878 -2.029669 -0.878473
0.112650 -1.475748 -1.178708
0.611560 0.997040 1.029778
-0.712026 -0.205754 -0.133111
2.252141 1.803175 -0.302658
1.179224 0.032835 -0.972852
-0.523593 1.440311 0.320928
0.458717 0.877265 -1.460256
-1.539573 0.942999 0.149840
-0.517214 -1.457417 0.584310
1.107474 -0.886968 0.662306
-0.417177 1.066831 -2.300242
0.127029 0.551348 -1.277690
-0.833407 0.536588 -0.284357
-0.136226 1.272092 0.153375
-0.237465 -0.774603 0.977584
-2.947129 0.248344 0.722275
-0.931127 0.053398 -0.625272
-0.105279 -1.855792 1.244824
0.371716 -0.054627 0.493878
-0.006104 1.042281 -1.357004
0.804110 -0.170633 0.006898
0.597355 -1.459299 -0.074267
1.594098 -0.465505 -0.423530
-1.027170 0.156942 -1.672260
2.273945 1.318835 0.040447
-0.303998 -1.037399 0.910858
0.250510 0.422731 -0.053485
0.464138 -1.734314 -0.096774
-0.990938 0.339285 0.478468
-0.237383 0.227444 -0.370161
0.697501 0.435688 -1.544257
-0.745348 -0.908376 -1.242699
1.416939 -0.002582 -0.529591
-0.902631 -0.569448 0.838336
0.789523 -1.826917 0.137797
-1.910201 -1.341448 -0.343282
-0.694400 1.667319 0.214451
0.558741 -0.006094 0.657301
-0.255262 1.253298 -0.673711
-0.178256 0.502088 -1.665612
1.020925 -0.053325 0.211882
0.690455 -0.430469 2.723913
-0.443476 0.798993 -0.289515
0.512412 0.742522 0.593651
0.064284 -1.215567 -2.110618
0.045653 1.467124 1.664260
-0.074639 1.343917 -0.018086
0.285469 0.831687 0.628733
0.006013 0.628160 -1.123299
1.080002 1.678147 -0.582272
-0.779459 0.973153 -0.839147
1.304831 -0.098620 0.629929
0.156175 -0.920706 0.730216
-1.728428 0.819370 -0.224977
1.462453 -2.202683 -0.910226
0.607025 -1.819464 0.115164
-0.277471 0.877063 2.085056
-0.446477 -0.146180 -0.661589
0.481507 -1.266681 -1.551795
-1.616763 0.046991 0.860838
-0.851971 -0.015174 0.396354
1.033334 0.456661 -0.235646
0.023305 2.028311 1.321641
0.081433 -0.663314 -0.389182
-1.962231 0.249201 1.558722
0.450431 -0.063714 0.144078
0.895269 -0.403225 -1.589759
0.096496 1.195684 -0.180553
0.472297 -1.909117 0.546213
1.929545 0.274404 0.682672
0.841018 1.249405 0.066101
-1.441210 -1.784539 0.165024
-0.054223 -0.528286 -0.844872
-0.243898 -1.107558 0.661501
-2.199819 -0.067904 0.874457
-0.394290 -0.912717 0.633822
1.246638 -0.228617 -0.334404
0.302162 -1.196839 1.242133
2.628066 -0.128770 -2.050160
0.379065 0.057937 -0.594342
-1.008689 -1.610776 0.660660
-0.869144 1.806382 2.147653
0.128308 0.694242 -2.578900
-0.818362 -0.410488 -0.242499
2.066998 1.619023 -0.833506
0.633566 -1.235742 -0.468840
-2.099763 0.743628 -0.294999
-0.581269 0.563533 0.576815
1.305405 -1.570751 -0.338063
-1.247838 -0.911785 1.530571
0.883460 -0.110359 -0.381839
1.333454 -1.564641 0.336884
0.069100 0.184460 -1.692312
-1.446359 0.513884 -0.386260
0.751107 -0.372413 -0.662711
1.165772 0.926486 0.693919
0.784418 -0.247719 0.146278
-0.747286 0.612579 -0.112728
-0.088627 0.056320 -0.754971
1.641331 1.045794 -0.774894
0.334994 0.384162 -1.162269
-0.660567 0.948469 0.337292
-0.908985 0.058348 -0.057893
-0.115137 0.273093 -0.262844
-0.841955 1.179027 1.025653
0.820538 0.130516 0.563453
-0.388955 1.314906 -1.713979
0.940346 -1.265053 -0.258343
0.205601 -1.025472 -1.403466
0.531808 1.350258 0.563986
0.500518 -0.634365 -1.248381
0.316657 0.009676 0.862621
-0.870413 -0.837618 0.944590
-0.584211 -0.301373 0.589070
0.547022 -1.634071 1.056883
1.660538 -0.099106 0.642658
0.996510 -1.435178 0.200004
-0.230454 0.445692 0.574598
-1.617041 -3.547357 -1.594255
-1.225038 -0.332109 0.892426
0.931742 0.583985 -1.268628
0.242863 0.889316 1.477528
-0.388990 1.575628 0.127793
-0.701464 0.787187 -0.852312
0.648676 1.535691 -0.319265
-0.460609 -0.767100 0.679704
-0.931208 0.621765 -0.041978
0.295151 1.280841 0.836611
-1.081691 0.430414 -0.477130
0.344302 -0.661208 -1.342344
-1.767143 1.600273 0.349151
0.674526 -0.269115 -2.715793
-1.593698 -0.555397 0.480012
0.480060 2.147070 1.563975
0.484115 0.984421 -0.762967
-0.634570 -0.891471 0.359026
0.553252 0.977634 0.446784
1.155159 -0.254115 1.000487
-0.512781 0.240004 1.307801
1.137586 1.469012 -0.694115
0.504692 -0.672757 -0.032232
-0.549282 -2.037350 0.216956
-0.784653 -2.148019 -0.690501
1.680470 1.682300 -1.696019
-0.250728 -1.202557 -0.352976
-0.591387 1.171217 -0.718988
-0.763505 -0.291401 0.299463
1.468038 1.268224 -1.951940
0.185942 0.171665 -1.825331
-1.292580 0.125606 -0.683063
0.288327 0.490629 -0.481821
0.321244 1.855861 -0.676021
-0.633789 -1.133328 -0.170248
-0.526312 1.014090 -0.569043
0.929974 -0.371230 1.196547
0.178954 -0.752170 -0.672604
0.297387 1.251162 0.830904
0.297851 -0.764675 0.933247
0.825118 -0.188122 1.190092
-0.657915 0.161251 -0.395412
0.205979 1.372370 0.525276
-1.214870 0.300811 0.485984
-1.581106 -0.875947 0.349863
1.459711 0.986808 0.490518
0.634394 -0.798008 0.120304
-0.743725 2.390471 0.029802
0.069847 1.642537 -0.249267
0.174324 -1.059051 -1.673217
0.895189 0.593025 0.433747
-0.214077 -0.106849 1.549810
-0.610470 1.355330 0.404991
1.863672 -0.441833 -0.517652
0.569692 0.474724 0.733210
0.087034 -0.782328 0.116059
1.987037 -0.777417 0.573093
-0.177355 0.937996 1.249381
-1.219905 -1.384725 -0.061362
-0.103832 0.648746 -0.622248
-1.169807 -0.721268 -0.311671
-0.139091 0.330429 -1.021244
1.910074 0.451220 -0.762122
-0.375130 -1.457227 0.441343
1.469909 0.099650 -0.468947
-0.199815 -0.676616 0.124330
-1.505425 0.015625 -0.067785
-1.283552 0.992393 1.534874
0.340248 -1.095445 -0.104029
1.698837 1.162241 1.139902
-0.828873 -1.153196 0.000795
-0.952441 0.257721 -1.736189
0.935979 -1.597889 0.111761
-0.273370 -1.354497 -0.680223
-0.146640 0.004070 0.455003
-0.262258 -0.583019 -0.767828
0.572437 -0.428614 1.499932
0.038295 -1.280118 1.378456
-1.533332 1.294122 0.136965
1.199205 1.925796 0.455175
0.804533 -0.447415 1.278586
1.434579 2.240124 -0.936076
-0.270099 -0.517950 1.538699
0.494297 0.349116 0.780869
-1.477825 1.280298 1.280932
-0.600295 1.043905 -0.836437
-0.649005 0.292128 0.966723
0.791069 1.288172 -0.237585
-0.274350 0.714390 0.398867
-1.217874 2.052535 1.298187
-1.587880 -0.332976 1.089240
0.254068 -1.648409 -1.275270
2.510014 -2.052406 0.560054
-0.554047 0.321632 -0.155536
-0.825892 -0.568590 -0.731380
1.424845 1.004642 -1.148175
-0.187895 -1.763056 0.511392
1.287173 -0.149178 0.255194
1.222227 -1.275412 0.825807
-0.070061 -0.136478 0.943327
1.335768 1.053677 0.764306
0.573874 0.054161 2.010740
-2.319746 -0.629087 0.202055
-0.882110 0.204750 -1.030754
-1.477999 -0.276834 -0.385503
0.973385 0.866949 0.918143
0.485473 0.829190 1.659389
1.329846 -1.241466 -2.019109
-0.009590 0.687035 1.204671
0.656902 -0.884770 -1.229456
-0.410824 -0.007776 0.520444
-2.113145 -0.521898 -0.099040
-0.975809 2.278125 -0.137911
-0.073395 -0.506951 0.522453
0.412370 -1.448902 0.844730
-1.162082 -0.116406 1.374711
-0.293151 -1.643099 -1.932985
-0.315041 0.897178 -0.220189
0.847981 -2.410078 1.934963
0.515951 2.185188 -0.335178
0.417206 1.140888 0.076348
