t Pi r1 r2
200 3.278688 2.085336 0.176088
300 3.191489 3.035254 0.766759
400 3.187251 1.434201 0.942591
500 3.125000 2.227568 0.039133
600 3.084833 1.476259 0.206057
700 3.063457 0.492669 0.203815
800 3.047619 2.271976 0.713127
900 3.035413 1.756102 0.950739
1000 3.007519 2.184627 0.594982
1100 3.001364 0.150322 0.113068
1200 3.007519 1.451924 0.374010
1300 3.012746 2.962570 0.463107
1400 3.040174 1.426818 0.643318
1500 3.039514 2.715319 0.037527
1600 3.050524 2.278782 0.012697
1700 3.041145 2.692354 0.335000
1800 3.069054 0.364944 0.101878
1900 3.071948 2.240789 0.398131
2000 3.067485 1.422607 0.792723
2100 3.088235 1.455613 0.019383
2200 3.113942 2.338700 0.829994
2300 3.118644 1.858312 0.697825
2400 3.114861 0.547585 0.692584
2500 3.111388 2.485718 0.525449
2600 3.111909 2.883718 0.364465
2700 3.107020 1.774863 0.803670
2800 3.095633 1.518997 0.557504
2900 3.103264 1.345371 0.503703
3000 3.103983 2.300707 0.599913
3100 3.115578 0.257034 0.770869
3200 3.125000 0.445744 0.091207
3300 3.135392 2.386541 0.853743
3400 3.146691 2.403530 0.493235
3500 3.144654 2.869580 0.224586
3600 3.138623 2.664183 0.335946
3700 3.151618 2.500844 0.259787
3800 3.145695 3.125659 0.756117
3900 3.130016 2.153212 0.805285
4000 3.122561 0.468433 0.012870
4100 3.127384 0.708586 0.295670
4200 3.129657 2.470782 0.060199
4300 3.142126 2.435791 0.818678
4400 3.142857 1.170174 0.172402
4500 3.135889 2.936393 0.230346
4600 3.137790 1.914611 0.158832
4700 3.137517 0.765672 0.119524
4800 3.143419 0.413013 0.084251
4900 3.143040 2.458117 0.751303
5000 3.139717 3.087744 0.935852
5100 3.142329 2.290038 0.421866
5200 3.145796 1.812318 0.602224
5300 3.151011 2.292592 0.736182
5400 3.146853 2.424102 0.772075
5500 3.153670 2.229126 0.124659
5600 3.159379 1.171458 0.255363
5700 3.164908 1.605583 0.542215
5800 3.169399 1.415211 0.363106
5900 3.167785 1.215863 0.737663
6000 3.172086 2.119910 0.592715
6100 3.174603 2.828963 0.556212
6200 3.171355 1.587286 0.611075
6300 3.173804 0.544869 0.243822
6400 3.168317 1.213450 0.708774
6500 3.160710 0.188525 0.855719
6600 3.160163 0.555630 0.806230
6700 3.166352 0.240607 0.548621
6800 3.167948 2.826483 0.884663
6900 3.165864 0.903358 0.996937
7000 3.165988 1.152190 0.591983
7100 3.164698 1.824946 0.474913
7200 3.165531 2.762897 0.633491
7300 3.159489 0.695560 0.732785
7400 3.160367 0.687699 0.360724
7500 3.157895 1.248531 0.966819
7600 3.159426 0.215627 0.138894
7700 3.158974 0.514594 0.200619
7800 3.157895 0.175845 0.928398
7900 3.156213 0.839245 0.650610
8000 3.157687 0.998509 0.753161
8100 3.159126 0.678245 0.119117
8200 3.156274 2.111171 0.347938
8300 3.158896 0.375210 0.534643
8400 3.158489 1.202953 0.160326
8500 3.160439 0.903256 0.247240
8600 3.159441 0.682731 0.286149
8700 3.153888 2.390156 0.638380
8800 3.155818 0.899856 0.039301
8900 3.158829 0.262098 0.753434
9000 3.163445 0.901475 0.625489
9100 3.164117 2.631454 0.726530
9200 3.162599 2.086740 0.717828
9300 3.160578 0.550051 0.226451
9400 3.161258 2.227806 0.478536
9500 3.161398 2.603310 0.279506
9600 3.163097 0.405042 0.909472
9700 3.162184 2.048068 0.921774
9800 3.155184 1.222213 0.943946
9900 3.153368 0.937204 0.546266
10000 3.154077 2.284300 0.398831
10100 3.153294 0.132171 0.678030
10200 3.153014 2.744363 0.793911
10300 3.147922 1.925472 0.305723
10400 3.148176 2.706268 0.721939
10500 3.149370 1.733517 0.338383
10600 3.153354 2.293720 0.630860
10700 3.151694 2.215919 0.567983
10800 3.147770 2.582799 0.629001
10900 3.149834 2.524694 0.417073
11000 3.153670 1.705939 0.657712
11100 3.152066 0.426857 0.173445
11200 3.152709 1.141348 0.480845
11300 3.150265 1.950885 0.169852
11400 3.154836 0.027680 0.324371
11500 3.150253 2.236556 0.683653
11600 3.150890 2.120000 0.945247
11700 3.154064 1.540586 0.513434
11800 3.155080 1.298792 0.382443
11900 3.155662 0.091636 0.382961
12000 3.155818 0.302874 0.220868
12100 3.155150 1.511440 0.164525
12200 3.153270 0.758115 0.054484
12300 3.150615 2.023125 0.946624
12400 3.154012 2.617065 0.864746
12500 3.156566 1.027574 0.858470
12600 3.155917 1.755087 0.107234
12700 3.156064 0.808717 0.683359
12800 3.155430 1.130896 0.486818
12900 3.155963 2.674769 0.739114
13000 3.154957 1.881032 0.296676
13100 3.156626 0.964997 0.380449
13200 3.157895 1.441504 0.034193
13300 3.156895 0.146344 0.970311
13400 3.155911 2.828787 0.265401
13500 3.151628 0.773497 0.466221
13600 3.149971 1.328520 0.530283
13700 3.149063 1.396034 0.615916
13800 3.150325 0.715606 0.897950
13900 3.147289 1.664461 0.013972
14000 3.147482 0.177939 0.635210
14100 3.148727 0.925112 0.184419
14200 3.151354 1.975752 0.648036
14300 3.152210 2.891552 0.195028
14400 3.151330 2.155510 0.321779
14500 3.150462 2.900640 0.098476
14600 3.149946 0.719403 0.478495
14700 3.147415 0.925738 0.658211
14800 3.147597 0.219428 0.420442
14900 3.146115 0.869908 0.693464
15000 3.143336 2.365597 0.841059
15100 3.143541 2.755003 0.864958
15200 3.144394 1.234903 0.413942
15300 3.143943 1.217124 0.648156
15400 3.145425 0.272095 0.758641
15500 3.144335 1.092566 0.512672
15600 3.144527 0.666758 0.147456
15700 3.145032 2.873151 0.622586
15800 3.146157 0.702088 0.077793
15900 3.146957 2.274247 0.692059
16000 3.146200 2.068849 0.287231
16100 3.146990 1.955106 0.423711
16200 3.145020 1.405760 0.734573
16300 3.143987 0.073982 0.977809
16400 3.144172 1.005918 0.627126
16500 3.146153 0.223975 0.959814
16600 3.146025 1.329843 0.216705
16700 3.145010 1.614801 0.470806
16800 3.143124 2.860254 0.913388
16900 3.142432 1.987808 0.911742
17000 3.140588 0.725298 0.781884
17100 3.140208 2.714332 0.723430
17200 3.140692 2.566642 0.926137
17300 3.140316 1.638876 0.884110
17400 3.139944 0.022761 0.096167
17500 3.142113 2.062752 0.264048
17600 3.143138 0.498430 0.363044
17700 3.144431 0.147781 0.437531
17800 3.145988 0.426410 0.571372
17900 3.145594 2.129259 0.738173
18000 3.144105 2.161390 0.308745
18100 3.142088 1.856082 0.399518
18200 3.140097 0.760297 0.749663
18300 3.140014 2.236890 0.707449
18400 3.141272 1.223350 0.237545
18500 3.141717 1.725311 0.620927
18600 3.140831 2.977564 0.107443
18700 3.141010 2.819820 0.086408
18800 3.140661 1.046769 0.785151
18900 3.140839 2.669139 0.067209
19000 3.141015 2.563497 0.765072
19100 3.140931 1.289347 0.685486
19200 3.140334 2.064394 0.268507
19300 3.140765 2.309052 0.413721
19400 3.141955 2.984786 0.186024
19500 3.142374 2.361794 0.428444
19600 3.142788 1.818532 0.222850
19700 3.142698 0.942413 0.233805
19800 3.142109 1.323980 0.015896
19900 3.142767 2.493450 0.418774
20000 3.141937 1.151788 0.578126
20100 3.142344 0.580731 0.354787
20200 3.143480 2.823948 0.745242
20300 3.144362 0.099360 0.454589
20400 3.144509 1.806696 0.172678
20500 3.143931 1.092420 0.635281
20600 3.144078 0.157851 0.910327
20700 3.142315 0.172342 0.216104
20800 3.142231 2.371271 0.149703
20900 3.142385 1.214610 0.072002
21000 3.142772 2.095805 0.153095
21100 3.142921 1.814032 0.991888
21200 3.143535 1.200364 0.458698
21300 3.145072 1.466481 0.335113
21400 3.146133 2.202089 0.033776
21500 3.145574 2.130546 0.853361
21600 3.145249 2.130707 0.633484
21700 3.145155 2.575682 0.003496
21800 3.143702 2.449122 0.916064
21900 3.144744 2.443580 0.191780
22000 3.144429 0.627600 0.400191
22100 3.144341 1.866860 0.688970
22200 3.142918 0.897666 0.378079
22300 3.143059 3.008387 0.435825
22400 3.142316 0.090911 0.165309
22500 3.143336 0.001238 0.011097
22600 3.143255 1.282501 0.484799
22700 3.142956 0.732903 0.018850
22800 3.144394 3.048205 0.840720
22900 3.144740 0.254050 0.374997
23000 3.144224 2.470306 0.280485
23100 3.143499 0.391512 0.631670
23200 3.142780 2.243277 0.057394
23300 3.143551 2.748083 0.686875
23400 3.145796 0.278966 0.974918
23500 3.145285 2.127026 0.979052
23600 3.145408 0.144477 0.791970
23700 3.144696 1.380802 0.830769
23800 3.144197 1.707792 0.495205
23900 3.144116 2.993808 0.227388
24000 3.144448 0.938648 0.591084
24100 3.144162 0.502540 0.683140
24200 3.145921 0.320275 0.984542
24300 3.146853 3.000936 0.885349
24400 3.145952 2.462264 0.659793
24500 3.146472 0.377422 0.163329
24600 3.144775 2.744237 0.172244
24700 3.145295 3.010496 0.013467
24800 3.146410 0.382862 0.515566
24900 3.146919 0.745800 0.615620
25000 3.146831 1.389612 0.373171
25100 3.146941 0.553879 0.074830
25200 3.147443 2.650136 0.511354
25300 3.146375 2.590515 0.070773
25400 3.146095 0.089449 0.964863
25500 3.145236 0.277062 0.238224
25600 3.144963 2.944857 0.160148
25700 3.143923 0.188890 0.616883
25800 3.143083 0.098645 0.253731
25900 3.143585 2.284456 0.273452
26000 3.144274 0.505003 0.773200
26100 3.143631 2.850638 0.167251
26200 3.143749 2.143540 0.956843
26300 3.143677 1.045589 0.892644
26400 3.143231 0.918987 0.239882
26500 3.143908 0.986015 0.954939
26600 3.144208 0.654033 0.947226
26700 3.144136 1.395387 0.021885
26800 3.143695 0.406671 0.191094
26900 3.141606 1.835212 0.426645
27000 3.141910 0.170372 0.717230
27100 3.140754 1.808648 0.571082
27200 3.142148 2.124048 0.747219
27300 3.142627 2.801618 0.204114
27400 3.142923 1.123860 0.548524
27500 3.141959 0.687293 0.639003
27600 3.141004 3.076190 0.501905
27700 3.140234 2.929297 0.760029
27800 3.139824 1.860991 0.018798
27900 3.139064 0.656921 0.401747
28000 3.139541 1.078836 0.437650
28100 3.140016 0.694823 0.919612
28200 3.139962 0.971700 0.780327
28300 3.139909 2.948793 0.933430
28400 3.138122 0.486833 0.852865
28500 3.137384 1.299785 0.218665
28600 3.136997 2.623624 0.407913
28700 3.139014 1.732789 0.892786
28800 3.138623 3.049365 0.049374
28900 3.139257 2.887923 0.135123
29000 3.139717 1.711072 0.801263
29100 3.140005 0.672732 0.999498
29200 3.141305 2.817490 0.478548
29300 3.142091 2.921149 0.291247
29400 3.143209 2.503556 0.452869
29500 3.144654 0.494637 0.665939
29600 3.145088 3.107381 0.280843
29700 3.146853 1.328284 0.789902
29800 3.145949 2.266433 0.280158
29900 3.146209 0.881691 0.594124
30000 3.145973 2.983222 0.522663
30100 3.146561 0.050937 0.941361
30200 3.146161 1.514867 0.663220
30300 3.145437 1.884176 0.317275
30400 3.146672 0.446718 0.709745
30500 3.147900 0.768726 0.441075
30600 3.148796 0.678386 0.477196
30700 3.148395 2.537048 0.641869
30800 3.148962 0.534181 0.746942
30900 3.149687 3.041461 0.083977
31000 3.150246 0.666198 0.738805
31100 3.148729 0.780198 0.923150
31200 3.149288 0.119755 0.026883
31300 3.149052 2.115240 0.508711
31400 3.148659 0.505977 0.450998
31500 3.147482 2.514134 0.342333
31600 3.148508 1.489772 0.017605
31700 3.149215 2.649124 0.225321
31800 3.147892 0.381315 0.057048
31900 3.150617 0.031819 0.714143
32000 3.148677 0.843062 0.420063
32100 3.148602 2.217512 0.325255
32200 3.148067 0.969379 0.043653
32300 3.146308 0.182977 0.320520
32400 3.146089 2.718316 0.328489
32500 3.146176 1.035520 0.332873
32600 3.147478 2.724713 0.992670
32700 3.146803 2.244330 0.971957
32800 3.147038 0.615136 0.085865
32900 3.146820 1.894443 0.873684
33000 3.147503 0.414910 0.008054
33100 3.147734 0.649286 0.800666
33200 3.148113 2.028293 0.204520
33300 3.148043 3.125020 0.438794
33400 3.147529 2.938538 0.943841
33500 3.147313 0.860038 0.905809
33600 3.147246 0.613256 0.719453
33700 3.147327 1.259152 0.680101
33800 3.146821 1.731519 0.614267
33900 3.147340 2.927078 0.852707
34000 3.148440 1.204240 0.200743
34100 3.147644 1.824798 0.415821
34200 3.148157 2.039045 0.917316
34300 3.147655 1.819293 0.744263
34400 3.148165 1.254319 0.135169
34500 3.147954 1.651169 0.393093
34600 3.147171 1.034398 0.874398
34700 3.147963 1.003655 0.978370
34800 3.148894 1.895547 0.794006
34900 3.147547 0.616343 0.905389
35000 3.148331 0.439242 0.476371
35100 3.148123 1.865697 0.031766
35200 3.148339 1.783701 0.885585
35300 3.147851 0.702214 0.829948
35400 3.147226 2.160631 0.305621
35500 3.145908 0.193430 0.537123
35600 3.146961 0.766768 0.163529
35700 3.147732 1.222703 0.203172
35800 3.147391 3.061972 0.575817
35900 3.147880 2.159191 0.453362
36000 3.148229 1.818859 0.730542
36100 3.148302 2.684345 0.579145
36200 3.148237 2.075255 0.570327
36300 3.148855 3.064178 0.208479
36400 3.148653 0.297955 0.204181
36500 3.148452 3.093146 0.492232
36600 3.148387 1.132710 0.477620
36700 3.149133 1.197600 0.268568
36800 3.148663 2.855863 0.343825
36900 3.149002 2.958937 0.160309
37000 3.148668 1.857082 0.964140
37100 3.149138 1.463477 0.575371
37200 3.148673 1.464240 0.290807
37300 3.148211 2.475587 0.572071
37400 3.148281 2.666998 0.377367
37500 3.149540 0.511741 0.252969
37600 3.149870 3.088397 0.774960
37700 3.148751 1.718202 0.302120
37800 3.147770 0.233519 0.662995
37900 3.148102 3.071552 0.855347
38000 3.149084 1.733259 0.426783
38100 3.149151 1.951110 0.625880
38200 3.148698 2.033462 0.407418
38300 3.148894 1.415484 0.061142
38400 3.147670 2.253190 0.789395
38500 3.147611 1.372534 0.772327
38600 3.146654 1.159862 0.661728
38700 3.146469 2.494075 0.258247
38800 3.146286 2.670887 0.763101
38900 3.146358 1.711113 0.049026
39000 3.146557 1.888894 0.373855
39100 3.146248 0.755929 0.515706
39200 3.146699 1.715843 0.287690
39300 3.145888 1.346328 0.284722
39400 3.146337 1.817385 0.082494
39500 3.146032 2.242774 0.618696
39600 3.145603 1.151073 0.766290
39700 3.145177 1.304432 0.237426
39800 3.145251 0.937607 0.938279
39900 3.144952 1.149560 0.390961
40000 3.144778 2.164411 0.250383
40100 3.144235 0.970553 0.405017
40200 3.144925 1.336593 0.958152
40300 3.144629 1.197217 0.650984
40400 3.143357 0.593389 0.068629
40500 3.143312 2.998245 0.442702
40600 3.143753 2.537273 0.043907
40700 3.144314 1.751313 0.173377
40800 3.143782 1.745203 0.392133
40900 3.143011 0.482916 0.689381
41000 3.143087 3.070788 0.118163
41100 3.142682 1.005920 0.208807
41200 3.143119 2.111567 0.532730
41300 3.143673 3.014534 0.708299
41400 3.143866 1.315929 0.896835
41500 3.145250 1.805712 0.665109
41600 3.145201 1.669998 0.082277
41700 3.144678 1.438473 0.330148
41800 3.144749 0.163155 0.348417
41900 3.144229 1.268601 0.617301
42000 3.144301 2.928081 0.183602
42100 3.144607 0.882357 0.643245
42200 3.144678 2.880657 0.124047
42300 3.144163 2.089515 0.125849
42400 3.143885 1.934243 0.856975
42500 3.143142 1.413085 0.651542
42600 3.144259 0.441885 0.025800
42700 3.144214 2.536554 0.782184
42800 3.144053 2.393077 0.267711
42900 3.144354 1.838839 0.164455
43000 3.144424 0.113519 0.706766
43100 3.144035 2.860142 0.915951
43200 3.144562 3.022338 0.320445
43300 3.143946 1.474496 0.203661
43400 3.144472 0.570722 0.360117
43500 3.144086 2.340293 0.014364
43600 3.144155 1.001382 0.219709
43700 3.143885 1.513105 0.726698
43800 3.143616 1.792869 0.339939
43900 3.143686 1.952879 0.279039
44000 3.143419 2.657030 0.923472
44100 3.143152 1.532453 0.489219
44200 3.143335 2.857224 0.579936
44300 3.142958 1.210764 0.604362
44400 3.143474 1.630707 0.638506
44500 3.143321 2.451633 0.363369
44600 3.143723 0.640742 0.752938
44700 3.142797 1.004589 0.989831
44800 3.142647 2.038342 0.595645
44900 3.143377 2.869505 0.992088
45000 3.144215 1.864587 0.180385
45100 3.144062 2.388287 0.990034
45200 3.143801 0.191081 0.564981
45300 3.143977 1.309743 0.083885
45400 3.144698 0.407406 0.195700
45500 3.144328 2.530805 0.851348
45600 3.143960 0.946865 0.125814
45700 3.144676 0.033680 0.084235
45800 3.144848 0.711180 0.580017
45900 3.144805 0.808898 0.565191
46000 3.144439 0.215240 0.050303
46100 3.144718 2.771900 0.693705
46200 3.145211 1.482838 0.737182
46300 3.146128 0.880798 0.881355
46400 3.145763 2.723448 0.032923
46500 3.145505 0.990884 0.128282
46600 3.145248 3.064018 0.427642
46700 3.144993 2.915942 0.614630
46800 3.144739 0.949522 0.913259
46900 3.144380 0.901529 0.697682
47000 3.144865 0.123392 0.145924
47100 3.144507 1.580188 0.275414
47200 3.145199 2.649457 0.433055
47300 3.144842 0.085712 0.964895
47400 3.144279 2.722649 0.337761
47500 3.143821 1.386411 0.217210
47600 3.144613 1.479125 0.169242
47700 3.145193 2.285821 0.925399
47800 3.145461 1.975106 0.547773
47900 3.145831 0.336129 0.441164
48000 3.145375 2.320865 0.641785
48100 3.144819 2.402339 0.146496
48200 3.144675 1.891175 0.526383
48300 3.144634 0.257632 0.418675
48400 3.144184 3.009900 0.862275
48500 3.144042 1.410559 0.528259
48600 3.143698 0.741474 0.478659
48700 3.143761 0.740133 0.004711
48800 3.145039 0.099702 0.021342
48900 3.144998 1.489004 0.947450
49000 3.145462 2.714153 0.372592
49100 3.146125 1.188796 0.107914
49200 3.145780 3.079118 0.424821
49300 3.145336 2.696572 0.487949
49400 3.145595 1.545813 0.275717
49500 3.146253 2.904009 0.406042
49600 3.145811 1.216605 0.359308
49700 3.145868 2.893183 0.900119
49800 3.145926 2.857894 0.374819
49900 3.145983 1.300617 0.627177
50000 3.145643 1.992498 0.480535
50100 3.146096 0.831998 0.495081
50200 3.145462 2.078932 0.470847
50300 3.145323 0.756053 0.169757
50400 3.145675 1.505672 0.566894
50500 3.145535 0.520144 0.590940
50600 3.145299 2.164856 0.773459
50700 3.145649 0.726792 0.344575
50800 3.145803 2.800584 0.981369
50900 3.146637 2.518110 0.414858
51000 3.146303 1.288198 0.208489
51100 3.146552 1.618210 0.943107
51200 3.146799 0.086553 0.488203
51300 3.146564 0.116571 0.678602
51400 3.146714 2.599134 0.847204
51500 3.146191 2.513085 0.367654
51600 3.146725 1.763887 0.056924
51700 3.146970 0.932177 0.214695
51800 3.146545 2.539599 0.761287
51900 3.146599 1.821151 0.727533
52000 3.145986 1.882399 0.682298
52100 3.145566 1.483999 0.886425
52200 3.145241 0.820089 0.262895
52300 3.145297 0.467843 0.944024
52400 3.145069 0.533792 0.811885
52500 3.145031 1.894290 0.583252
52600 3.144617 1.589854 0.509903
52700 3.144579 0.230086 0.025863
52800 3.144729 1.752334 0.317952
52900 3.144878 2.751373 0.361150
53000 3.144934 2.645092 0.985130
53100 3.145176 3.011145 0.005846
53200 3.145788 2.140755 0.559921
53300 3.145563 2.359479 0.427674
53400 3.145247 2.773090 0.437985
53500 3.146411 2.227803 0.937836
53600 3.146648 1.594725 0.169076
53700 3.146884 2.114356 0.901184
53800 3.146843 0.031107 0.753424
53900 3.146894 2.036282 0.814590
54000 3.145753 1.924876 0.401510
54100 3.145532 1.187989 0.123421
54200 3.144672 1.225393 0.316900
54300 3.144545 1.696194 0.573916
54400 3.143873 2.854011 0.091755
54500 3.144926 0.008333 0.486369
54600 3.144527 2.834791 0.737954
54700 3.144130 1.917800 0.336265
54800 3.144636 1.759633 0.130715
54900 3.145051 1.548732 0.769810
55000 3.145283 2.691622 0.003737
55100 3.144887 3.088363 0.841974
55200 3.145299 2.532294 0.455390
55300 3.145710 0.277960 0.719804
55400 3.144958 0.586963 0.425614
55500 3.144476 0.720141 0.500983
55600 3.144619 0.029378 0.953169
55700 3.145205 1.390105 0.068724
55800 3.144636 2.435061 0.965594
55900 3.144336 2.435681 0.124888
56000 3.143595 0.826389 0.272849
56100 3.142857 1.743142 0.278433
56200 3.143001 0.156936 0.800231
56300 3.142969 0.192671 0.594396
56400 3.142937 3.132009 0.250230
56500 3.142730 0.651092 0.978920
56600 3.143135 1.980290 0.456248
56700 3.143451 1.384953 0.520358
56800 3.143940 2.480478 0.196947
56900 3.143559 2.847685 0.697437
57000 3.142487 2.197231 0.528255
57100 3.142370 1.829607 0.128054
57200 3.142080 0.106687 0.081186
57300 3.142050 1.497331 0.810417
57400 3.142192 1.179976 0.379170
57500 3.142076 2.830039 0.375753
57600 3.142390 2.467097 0.477604
57700 3.142787 2.022475 0.318503
57800 3.142500 2.213893 0.121689
57900 3.143067 1.398552 0.300930
58000 3.143546 1.216764 0.915758
58100 3.143259 3.074588 0.472252
58200 3.143482 2.146262 0.375762
58300 3.143450 0.592694 0.684132
58400 3.144349 1.441096 0.763909
58500 3.143978 2.926882 0.975319
58600 3.143692 1.801184 0.971787
58700 3.143576 1.905419 0.705489
58800 3.143629 0.543736 0.060962
58900 3.144520 0.769046 0.132057
59000 3.143984 1.319075 0.959963
59100 3.144537 1.630745 0.402127
59200 3.144420 1.314628 0.087886
59300 3.144221 0.639193 0.028931
59400 3.144521 2.385392 0.074462
59500 3.145070 0.789520 0.955799
59600 3.144870 2.753406 0.290472
59700 3.145333 3.075633 0.330023
59800 3.145878 2.657583 0.899556
59900 3.145678 2.374797 0.242589
60000 3.145891 2.653301 0.095511
60100 3.146103 0.083715 0.730526
60200 3.146150 2.838368 0.180926
60300 3.146032 0.818936 0.472999
60400 3.146325 1.071620 0.239814
60500 3.146698 1.265447 0.259559
60600 3.146908 2.500272 0.928778
60700 3.146545 2.408839 0.165176
60800 3.146835 0.122639 0.852588
60900 3.146718 0.868206 0.555907
61000 3.146195 2.531087 0.237979
61100 3.146241 0.632032 0.359992
61200 3.146044 0.173186 0.825186
61300 3.146010 2.703593 0.429786
61400 3.145895 2.801345 0.852523
61500 3.146182 2.769421 0.747498
61600 3.145425 0.404262 0.794594
61700 3.145552 0.999273 0.778391
61800 3.145679 1.537860 0.177221
61900 3.145805 1.156011 0.806650
62000 3.145851 2.033733 0.524664
62100 3.145897 2.443835 0.259435
62200 3.145624 2.278815 0.727400
62300 3.145750 2.066634 0.626232
62400 3.145954 1.086282 0.214424
62500 3.145841 1.489474 0.052662
